trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  862 480.00  0.00 800.00 260.00  0
  1  769 430.00  0.00 800.00 52.00  0
  2  714 400.00  0.00 800.00 26.00  0
  3  765 430.00  0.00 800.00 12.90  0
  4  675 380.00  0.00 800.00 12.90  0
  5  746 420.00  0.00 800.00 10.80  1
  6  728 410.00  0.00 800.00 10.80  1
  7  710 400.00  0.00 800.00 10.80  1
  8  712 400.00  0.00 800.00 17.20  0
  9  710 410.00  0.00 800.00  8.60  1
 10  710 420.00  0.00 800.00 12.90  0
 11  710 380.00  0.00 800.00  8.60  1
 12  657 370.00  0.00 800.00 12.90  0
 13  657 350.00  0.00 800.00 10.80  1
 14  728 410.00  0.00 800.00 10.80  1
 15  710 400.00  0.00 800.00 10.80  1
 16  692 390.00  0.00 800.00 10.80  1
 17  692 390.00  0.00 800.00 12.90  0
 18  692 400.00  0.00 800.00 12.90  0
 19  639 360.00  0.00 800.00 12.90  0
 20  728 410.00  0.00 800.00 10.80  1
 21  639 370.00  0.00 800.00 10.80  1
 22  692 390.00  0.00 800.00 10.80  1
 23  692 390.00  0.00 800.00 12.90  0
 24  710 400.00  0.00 800.00 10.80  1
 25  692 400.00  0.00 800.00 12.90  0
 26  710 420.00  0.00 800.00 12.90  0
 27  710 380.00  0.00 800.00 12.90  0
 28  728 410.00  0.00 800.00 10.80  1
 29  639 360.00  0.00 800.00 12.90  0
 30  728 410.00  0.00 800.00 12.90  0
 31  675 380.00  0.00 800.00 12.90  0
 32  764 430.00  0.00 800.00 10.80  1
 33  728 410.00  0.00 800.00 10.80  1
 34  639 360.00  0.00 800.00 12.90  0
 35  746 420.00  0.00 800.00 10.80  1
 36  692 390.00  0.00 800.00 10.80  1
 37  674 380.00  0.00 800.00 10.80  1
 38  674 360.00  0.00 800.00  8.60  1
 39  674 380.00  0.00 800.00 12.90  0
 40  710 400.00  0.00 800.00 10.80  1
 41  674 380.00  0.00 800.00 12.90  0
