trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  189 110.00  0.00 800.00 12.90  1
  1  647 360.00  0.00 800.00 520.00  0
  2  769 430.00  0.00 800.00 52.00  1
  3  771 430.00  0.00 800.00 156.00  1
  4  790 440.00  0.00 800.00 260.00  1
  5  647 360.00  0.00 800.00 520.00  0
  6  772 430.00  0.00 800.00 260.00  1
  7  647 370.00  0.00 800.00 260.00  1
  8  647 350.00  0.00 800.00 260.00  1
  9  647 380.00  0.00 800.00 260.00  0
 10  755 420.00  0.00 800.00 520.00  1
 11    8  10.00  0.00 800.00 10.80  1
 12    6  10.00  0.00 800.00  6.44  0
 13    9  10.00  0.00 800.00 12.90  1
 14    9  10.00  0.00 800.00 10.80  0
 15   13  10.00  0.00 800.00 52.00  1
 16   13  10.00  0.00 800.00 104.00  1
 17   14  10.00  0.00 800.00 104.00  1
 18   14  20.00  0.00 800.00 156.00  1
 19   12  10.00  0.00 800.00 26.00  1
 20   12  20.00  0.00 800.00 21.50  1
 21    6  10.00  0.00 800.00  6.44  1
 22    9  10.00  0.00 800.00 12.90  1
 23    7  10.00  0.00 800.00  8.60  1
 24    6  10.00  0.00 800.00  6.44  1
 25    6  20.00  0.00 800.00  4.30  1
 26    5  10.00  0.00 800.00  4.30  1
 27    0  10.00  0.00 800.00  0.43  1
 28    3  10.00  0.00 800.00  2.00  1
 29    0  10.00  0.00 800.00  0.71  1
 30    0  20.00  0.00 800.00  0.71  1
 31  863 480.00  0.00 800.00 520.00  0
 32    0  20.00  0.00 800.00  0.71  1
 33  737 410.00  0.00 800.00 520.00  1
 34  791 440.00  0.00 800.00 520.00  1
 35  899 500.00  0.00 800.00 520.00  1
 36  935 520.00  0.00 800.00 520.00  0
 37  881 490.00  0.00 800.00 520.00  1
 38    0  10.00  0.00 800.00  0.43  1
 39  935 520.00  0.00 800.00 520.00  1
 40  971 540.00  0.00 800.00 520.00  1
 41 1025 570.00  0.00 800.00 520.00  1
