trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1389 780.00  0.00 800.00  2.00  0
  1  679 380.00  0.00 800.00 52.00  0
  2  766 430.00  0.00 800.00 17.20  1
  3  804 450.00  0.00 800.00 26.00  0
  4  785 440.00  0.00 800.00 21.50  0
  5  677 380.00  0.00 800.00 21.50  1
  6  732 410.00  0.00 800.00 26.00  1
  7  714 400.00  0.00 800.00 26.00  1
  8  696 390.00  0.00 800.00 26.00  1
  9  643 360.00  0.00 800.00 52.00  0
 10  696 390.00  0.00 800.00 52.00  0
 11  696 370.00  0.00 800.00 21.50  1
 12  767 430.00  0.00 800.00 21.50  1
 13  840 470.00  0.00 800.00 26.00  0
 14  767 430.00  0.00 800.00 26.00  0
 15  714 400.00  0.00 800.00 26.00  1
 16  714 390.00  0.00 800.00 52.00  0
 17  714 380.00  0.00 800.00 52.00  0
 18  714 390.00  0.00 800.00 21.50  1
 19  714 380.00  0.00 800.00 52.00  0
 20  714 420.00  0.00 800.00 52.00  0
 21  714 390.00  0.00 800.00 52.00  0
 22  714 390.00  0.00 800.00 21.50  1
 23  714 380.00  0.00 800.00 52.00  0
 24  714 400.00  0.00 800.00 21.50  0
 25  696 390.00  0.00 800.00 26.00  1
 26  696 390.00  0.00 800.00 21.50  1
 27  696 370.00  0.00 800.00 21.50  1
 28  696 370.00  0.00 800.00 21.50  1
 29  696 390.00  0.00 800.00 21.50  1
 30  696 410.00  0.00 800.00 52.00  0
 31  696 400.00  0.00 800.00 21.50  1
 32  696 380.00  0.00 800.00 21.50  1
 33  749 420.00  0.00 800.00 21.50  0
 34  696 390.00  0.00 800.00 21.50  1
 35  696 390.00  0.00 800.00 52.00  0
 36  696 390.00  0.00 800.00 52.00  0
 37  696 370.00  0.00 800.00 52.00  0
 38  696 380.00  0.00 800.00 52.00  0
 39  696 390.00  0.00 800.00 21.50  1
 40  696 400.00  0.00 800.00 21.50  0
 41  714 400.00  0.00 800.00 26.00  0
