trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1092 610.00  0.00 800.00 26.00  1
  1  845 470.00  0.00 800.00 520.00  0
  2  682 380.00  0.00 800.00 260.00  0
  3  681 380.00  0.00 800.00 156.00  0
  4  716 400.00  0.00 800.00 104.00  0
  5  608 340.00  0.00 800.00 104.00  0
  6  733 410.00  0.00 800.00 52.00  1
  7  626 350.00  0.00 800.00 104.00  0
  8  715 400.00  0.00 800.00 52.00  1
  9  644 360.00  0.00 800.00 104.00  0
 10  733 410.00  0.00 800.00 52.00  1
 11  644 370.00  0.00 800.00 52.00  1
 12  644 370.00  0.00 800.00 52.00  1
 13  644 350.00  0.00 800.00 52.00  1
 14  644 370.00  0.00 800.00 52.00  1
 15  644 350.00  0.00 800.00 52.00  1
 16  644 380.00  0.00 800.00 156.00  0
 17  626 350.00  0.00 800.00 104.00  0
 18  626 350.00  0.00 800.00 52.00  1
 19  626 350.00  0.00 800.00 156.00  0
 20  751 420.00  0.00 800.00 52.00  1
 21  626 330.00  0.00 800.00 52.00  1
 22  626 340.00  0.00 800.00 156.00  0
 23  626 340.00  0.00 800.00 156.00  0
 24  626 350.00  0.00 800.00 156.00  0
 25  626 330.00  0.00 800.00 156.00  0
 26  626 360.00  0.00 800.00 52.00  1
 27  626 370.00  0.00 800.00 52.00  1
 28  626 370.00  0.00 800.00 156.00  0
 29  626 350.00  0.00 800.00 52.00  1
 30  626 330.00  0.00 800.00 156.00  0
 31  626 360.00  0.00 800.00 52.00  1
 32  626 360.00  0.00 800.00 156.00  0
 33  626 350.00  0.00 800.00 156.00  0
 34  626 340.00  0.00 800.00 52.00  1
 35  626 370.00  0.00 800.00 52.00  0
 36  733 410.00  0.00 800.00 52.00  1
 37  733 430.00  0.00 800.00 104.00  0
 38  733 390.00  0.00 800.00 26.00  1
 39  733 390.00  0.00 800.00 104.00  0
 40  733 430.00  0.00 800.00 104.00  0
 41  733 410.00  0.00 800.00 104.00  0
