trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1032 580.00  0.00 800.00  6.44  1
  1  629 350.00  0.00 800.00 520.00  0
  2  626 350.00  0.00 800.00 104.00  0
  3  822 460.00  0.00 800.00 26.00  1
  4  769 430.00  0.00 800.00 52.00  1
  5  626 350.00  0.00 800.00 104.00  0
  6  751 420.00  0.00 800.00 52.00  1
  7  626 340.00  0.00 800.00 156.00  0
  8  769 430.00  0.00 800.00 52.00  1
  9  626 350.00  0.00 800.00 156.00  0
 10  626 360.00  0.00 800.00 156.00  0
 11  626 330.00  0.00 800.00 156.00  0
 12  626 350.00  0.00 800.00 52.00  1
 13  626 340.00  0.00 800.00 156.00  0
 14  626 370.00  0.00 800.00 52.00  1
 15  626 330.00  0.00 800.00 156.00  0
 16  626 370.00  0.00 800.00 156.00  0
 17  626 360.00  0.00 800.00 156.00  0
 18  626 360.00  0.00 800.00 52.00  1
 19  626 370.00  0.00 800.00 52.00  1
 20  626 350.00  0.00 800.00 156.00  0
 21  626 330.00  0.00 800.00 156.00  0
 22  626 370.00  0.00 800.00 156.00  0
 23  626 370.00  0.00 800.00 52.00  1
 24  859 480.00  0.00 800.00 52.00  1
 25  626 350.00  0.00 800.00 156.00  0
 26  626 370.00  0.00 800.00 156.00  0
 27  626 350.00  0.00 800.00 52.00  1
 28  626 350.00  0.00 800.00 156.00  0
 29  626 360.00  0.00 800.00 156.00  0
 30  626 350.00  0.00 800.00 156.00  0
 31  626 340.00  0.00 800.00 52.00  1
 32  626 350.00  0.00 800.00 156.00  0
 33  626 370.00  0.00 800.00 52.00  1
 34  626 340.00  0.00 800.00 156.00  0
 35  626 360.00  0.00 800.00 52.00  1
 36  626 350.00  0.00 800.00 156.00  0
 37  626 370.00  0.00 800.00 52.00  1
 38  626 340.00  0.00 800.00 156.00  0
 39  626 340.00  0.00 800.00 52.00  1
 40  626 330.00  0.00 800.00 52.00  1
 41  626 340.00  0.00 800.00 156.00  0
