trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  951 530.00  0.00 800.00 156.00  1
  1 1097 610.00  0.00 800.00 520.00  0
  2  845 470.00  0.00 800.00 520.00  0
  3  647 360.00  0.00 800.00 520.00  0
  4  772 430.00  0.00 800.00 260.00  1
  5  647 350.00  0.00 800.00 260.00  1
  6  647 350.00  0.00 800.00 260.00  1
  7  647 340.00  0.00 800.00 260.00  1
  8  647 380.00  0.00 800.00 260.00  1
  9  647 380.00  0.00 800.00 260.00  1
 10  647 370.00  0.00 800.00 260.00  1
 11  647 340.00  0.00 800.00 260.00  1
 12  647 370.00  0.00 800.00 260.00  1
 13  647 380.00  0.00 800.00 260.00  1
 14  647 350.00  0.00 800.00 260.00  1
 15  647 360.00  0.00 800.00 260.00  1
 16  647 350.00  0.00 800.00 260.00  1
 17  647 370.00  0.00 800.00 260.00  1
 18  647 350.00  0.00 800.00 260.00  1
 19  647 380.00  0.00 800.00 260.00  1
 20  647 340.00  0.00 800.00 260.00  1
 21  647 350.00  0.00 800.00 260.00  1
 22  647 380.00  0.00 800.00 260.00  1
 23  647 360.00  0.00 800.00 260.00  1
 24  647 360.00  0.00 800.00 260.00  1
 25  647 370.00  0.00 800.00 260.00  1
 26  647 370.00  0.00 800.00 260.00  1
 27  647 360.00  0.00 800.00 260.00  1
 28  647 340.00  0.00 800.00 260.00  1
 29  647 380.00  0.00 800.00 260.00  1
 30  647 380.00  0.00 800.00 260.00  1
 31  647 360.00  0.00 800.00 260.00  1
 32  647 360.00  0.00 800.00 260.00  1
 33  647 360.00  0.00 800.00 260.00  1
 34  647 380.00  0.00 800.00 260.00  1
 35  647 380.00  0.00 800.00 260.00  1
 36  647 340.00  0.00 800.00 260.00  1
 37  647 350.00  0.00 800.00 260.00  1
 38  647 350.00  0.00 800.00 260.00  0
 39  701 390.00  0.00 800.00 520.00  1
 40  809 450.00  0.00 800.00 520.00  1
 41  971 540.00  0.00 800.00 520.00  1
