trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  424 240.00  0.00 800.00 17.20  0
  1    0  10.00  0.00 800.00  0.43  1
  2    0  10.00  0.00 800.00  0.43  1
  3    0  10.00  0.00 800.00  0.43  1
  4  969 540.00  0.00 800.00 156.00  0
  5  804 450.00  0.00 800.00 26.00  0
  6  767 430.00  0.00 800.00 21.50  0
  7  802 450.00  0.00 800.00 17.20  0
  8  819 460.00  0.00 800.00 12.90  0
  9  783 440.00  0.00 800.00 12.90  0
 10  783 450.00  0.00 800.00 10.80  0
 11  818 460.00  0.00 800.00 10.80  0
 12  747 420.00  0.00 800.00 12.90  0
 13  818 470.00  0.00 800.00 12.90  0
 14  800 450.00  0.00 800.00 10.80  0
 15  800 470.00  0.00 800.00 12.90  0
 16  800 430.00  0.00 800.00 12.90  0
 17  782 440.00  0.00 800.00 10.80  0
 18  782 440.00  0.00 800.00 12.90  0
 19  782 420.00  0.00 800.00  8.60  0
 20  729 410.00  0.00 800.00 12.90  0
 21  729 400.00  0.00 800.00 17.20  0
 22  782 440.00  0.00 800.00 10.80  0
 23  782 440.00  0.00 800.00 12.90  0
 24  125  70.00  0.00 800.00 520.00  0
 25  177 100.00  0.00 800.00 156.00  0
 26  531 300.00  0.00 800.00 12.90  0
 27  747 420.00  0.00 800.00 12.90  0
 28 1406 790.00  0.00 800.00  1.00  0
 29  744 420.00  0.00 800.00  6.44  0
 30  246 140.00  0.00 800.00 26.00  0
 31  819 460.00  0.00 800.00 12.90  0
 32  263 150.00  0.00 800.00 21.50  0
 33  944 530.00  0.00 800.00 10.80  0
 34  873 490.00  0.00 800.00 12.90  0
 35  908 510.00  0.00 800.00 10.80  0
 36  779 440.00  0.00 800.00  4.30  0
 37  891 500.00  0.00 800.00 12.90  0
 38 1063 600.00  0.00 800.00  0.71  0
 39  999 560.00  0.00 800.00 12.90  0
 40  963 540.00  0.00 800.00 12.90  0
 41  429 240.00  0.00 800.00 156.00  0
