trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1244 700.00  0.00 800.00  1.00  1
  1  647 360.00  0.00 800.00 520.00  0
  2  769 430.00  0.00 800.00 52.00  0
  3  766 430.00  0.00 800.00 17.20  1
  4  822 460.00  0.00 800.00 26.00  0
  5  714 400.00  0.00 800.00 26.00  0
  6  677 380.00  0.00 800.00 21.50  1
  7  732 410.00  0.00 800.00 26.00  0
  8  677 360.00  0.00 800.00 26.00  0
  9  677 370.00  0.00 800.00 17.20  1
 10  677 390.00  0.00 800.00 26.00  0
 11  677 360.00  0.00 800.00 17.20  1
 12  677 400.00  0.00 800.00 26.00  0
 13  677 390.00  0.00 800.00 17.20  1
 14  677 380.00  0.00 800.00 17.20  1
 15  677 400.00  0.00 800.00 17.20  1
 16  677 380.00  0.00 800.00 26.00  0
 17  677 370.00  0.00 800.00 17.20  1
 18  677 400.00  0.00 800.00 26.00  0
 19  677 370.00  0.00 800.00 26.00  0
 20  677 360.00  0.00 800.00 17.20  1
 21  677 390.00  0.00 800.00 26.00  0
 22  677 400.00  0.00 800.00 17.20  1
 23  677 370.00  0.00 800.00 17.20  1
 24  677 360.00  0.00 800.00 26.00  0
 25  677 360.00  0.00 800.00 17.20  1
 26  677 360.00  0.00 800.00 26.00  0
 27  766 430.00  0.00 800.00 17.20  1
 28  677 400.00  0.00 800.00 26.00  0
 29  677 400.00  0.00 800.00 17.20  1
 30  677 360.00  0.00 800.00 26.00  0
 31  677 400.00  0.00 800.00 26.00  0
 32  766 430.00  0.00 800.00 17.20  1
 33  677 370.00  0.00 800.00 26.00  0
 34  677 360.00  0.00 800.00 17.20  1
 35  677 400.00  0.00 800.00 26.00  0
 36  677 380.00  0.00 800.00 26.00  0
 37  677 400.00  0.00 800.00 26.00  0
 38  677 360.00  0.00 800.00 26.00  0
 39  766 430.00  0.00 800.00 17.20  1
 40  677 390.00  0.00 800.00 17.20  1
 41  677 370.00  0.00 800.00 26.00  0
