trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0    7  10.00  0.00 800.00  8.60  1
  1  647 360.00  0.00 800.00 520.00  0
  2  769 430.00  0.00 800.00 52.00  0
  3  714 400.00  0.00 800.00 26.00  0
  4  765 430.00  0.00 800.00 12.90  0
  5  675 380.00  0.00 800.00 12.90  0
  6  675 360.00  0.00 800.00 10.80  1
  7  675 380.00  0.00 800.00 17.20  1
  8 1420 790.00  0.00 800.00 260.00  0
  9  784 440.00  0.00 800.00 17.20  0
 10  657 370.00  0.00 800.00 12.90  0
 11  802 450.00  0.00 800.00 17.20  0
 12  746 420.00  0.00 800.00 10.80  0
 13  782 440.00  0.00 800.00 10.80  0
 14  747 420.00  0.00 800.00 12.90  1
 15  964 540.00  0.00 800.00 17.20  0
 16  891 500.00  0.00 800.00 12.90  0
 17  891 480.00  0.00 800.00 10.80  0
 18  675 380.00  0.00 800.00 12.90  1
 19  692 390.00  0.00 800.00 10.80  0
 20  837 470.00  0.00 800.00 12.90  0
 21  855 480.00  0.00 800.00 12.90  0
 22  764 430.00  0.00 800.00 10.80  0
 23  854 480.00  0.00 800.00 10.80  1
 24  458 260.00  0.00 800.00 10.80  1
 25  530 300.00  0.00 800.00 10.80  1
 26  710 400.00  0.00 800.00 10.80  1
 27  674 380.00  0.00 800.00 10.80  1
 28  656 370.00  0.00 800.00 10.80  1
 29  656 360.00  0.00 800.00  8.60  1
 30  656 360.00  0.00 800.00  8.60  1
 31  656 360.00  0.00 800.00  8.60  1
 32  674 380.00  0.00 800.00 10.80  1
 33  656 370.00  0.00 800.00 12.90  0
 34  674 370.00  0.00 800.00  8.60  0
 35  818 460.00  0.00 800.00 10.80  1
 36  620 350.00  0.00 800.00 10.80  1
 37  620 360.00  0.00 800.00  8.60  1
 38  638 360.00  0.00 800.00 10.80  1
 39  620 350.00  0.00 800.00 12.90  1
 40  620 340.00  0.00 800.00  8.60  1
 41  620 340.00  0.00 800.00 12.90  0
