trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1278 720.00  0.00 800.00  0.43  1
  1  790 440.00  0.00 800.00 260.00  0
  2  661 370.00  0.00 800.00 52.00  0
  3  766 430.00  0.00 800.00 17.20  1
  4  804 450.00  0.00 800.00 26.00  0
  5  714 400.00  0.00 800.00 26.00  0
  6  677 380.00  0.00 800.00 21.50  0
  7  766 430.00  0.00 800.00 17.20  0
  8  640 360.00  0.00 800.00 17.20  1
  9  784 440.00  0.00 800.00 17.20  0
 10  729 410.00  0.00 800.00 12.90  1
 11  713 400.00  0.00 800.00 21.50  0
 12  640 360.00  0.00 800.00 17.20  1
 13  747 420.00  0.00 800.00 12.90  0
 14  729 410.00  0.00 800.00 12.90  1
 15  622 350.00  0.00 800.00 17.20  1
 16  622 360.00  0.00 800.00 21.50  0
 17  711 400.00  0.00 800.00 12.90  1
 18  622 350.00  0.00 800.00 12.90  1
 19  729 410.00  0.00 800.00 12.90  1
 20  729 430.00  0.00 800.00 10.80  1
 21  729 430.00  0.00 800.00 10.80  1
 22  802 450.00  0.00 800.00 17.20  0
 23  713 400.00  0.00 800.00 21.50  0
 24  640 360.00  0.00 800.00 17.20  1
 25  640 350.00  0.00 800.00 12.90  1
 26  642 360.00  0.00 800.00 26.00  0
 27  642 360.00  0.00 800.00 52.00  0
 28  747 420.00  0.00 800.00 12.90  0
 29  729 410.00  0.00 800.00 12.90  1
 30  729 390.00  0.00 800.00 17.20  0
 31  729 390.00  0.00 800.00 10.80  1
 32  729 410.00  0.00 800.00 10.80  1
 33  729 410.00  0.00 800.00 10.80  1
 34  729 430.00  0.00 800.00 17.20  0
 35  729 430.00  0.00 800.00 10.80  1
 36  729 400.00  0.00 800.00 10.80  1
 37  640 360.00  0.00 800.00 17.20  0
 38  640 370.00  0.00 800.00 12.90  1
 39  640 360.00  0.00 800.00 21.50  0
 40  640 340.00  0.00 800.00 12.90  1
 41  640 360.00  0.00 800.00 12.90  1
