trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1185 660.00  0.00 800.00 156.00  0
  1  626 350.00  0.00 800.00 104.00  0
  2  714 400.00  0.00 800.00 26.00  0
  3  765 430.00  0.00 800.00 12.90  1
  4  766 430.00  0.00 800.00 17.20  0
  5  658 370.00  0.00 800.00 17.20  0
  6  676 380.00  0.00 800.00 17.20  0
  7  783 440.00  0.00 800.00 12.90  0
  8  710 400.00  0.00 800.00 10.80  1
  9  639 360.00  0.00 800.00 12.90  1
 10  694 390.00  0.00 800.00 17.20  0
 11  639 370.00  0.00 800.00 17.20  0
 12  710 400.00  0.00 800.00 10.80  1
 13  710 400.00  0.00 800.00 12.90  0
 14  710 380.00  0.00 800.00  8.60  1
 15  710 400.00  0.00 800.00 12.90  1
 16  710 410.00  0.00 800.00  8.60  0
 17  656 370.00  0.00 800.00 10.80  1
 18  656 350.00  0.00 800.00 12.90  1
 19  656 360.00  0.00 800.00  8.60  1
 20  674 380.00  0.00 800.00 10.80  1
 21  674 360.00  0.00 800.00  8.60  1
 22  674 380.00  0.00 800.00 12.90  0
 23  674 380.00  0.00 800.00 12.90  0
 24  692 390.00  0.00 800.00 10.80  1
 25  621 350.00  0.00 800.00 12.90  0
 26  710 400.00  0.00 800.00 10.80  1
 27  692 390.00  0.00 800.00 10.80  1
 28  656 370.00  0.00 800.00 10.80  1
 29  638 360.00  0.00 800.00 10.80  1
 30  656 380.00  0.00 800.00 12.90  0
 31  674 380.00  0.00 800.00 10.80  1
 32  603 340.00  0.00 800.00 12.90  0
 33  710 400.00  0.00 800.00 10.80  1
 34  674 380.00  0.00 800.00 10.80  1
 35  656 370.00  0.00 800.00 10.80  1
 36  891 500.00  0.00 800.00 12.90  0
 37  638 360.00  0.00 800.00 10.80  1
 38  656 370.00  0.00 800.00 10.80  1
 39  656 370.00  0.00 800.00  8.60  1
 40  656 370.00  0.00 800.00 12.90  0
 41  674 380.00  0.00 800.00 10.80  1
